title,text,tags
Cobhaak Orhim,have their home eastern side of the walls of the [[Canyons of Cobeham]]. Upgraded to a city.,[[League of Glang]] Cobehot Urban City
Confederacy of the Larne,"""""""
Is an Alliance of [[Goblin]]'s.
""""""

!!! Urban Locations
<$list filter=""[tag[Confederacy of the Larne]tag[Urban]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Population <$view field=""population""/>)<br/>
</$list>",[[Minor Faction]]
Dave,,Player Character Thursday GMNote
Desert,"<$list filter=""[tag[Desert]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Desert of Death,,Kemzemkex Geography Desert
Dobbie,<<NPCMacro>>,Character
Don't You Know Who I Am?,"When you try to cite songs of past exploits or your reputation to gain favor with someone roll+Nothing.

* On a 10+, they've heard the songs of your dauntless skill and bravery and are wowed by your reputation. Take +1 forward. Tell us what they've heard.
* On a 7-9, choose one:
** They've heard of you, but it wasn't in the most favorable light. Whatever you did, it was foolish/scandalous/embarrassing. Still, at least it was entertaining. Take +1 forward. Tell us what they've heard.
** Your deed may be mighty, but your publicity needs some work. This person has never heard of you.
* On 6-, they've heard of you, but it was nothing good. Perhaps they're an old rival stoking a grudge, or they've only heard of your brutal, murderous ways. Tell us what they know.﻿",Move
Dramatis Personae,{{Character}},Home
Drowning,"//When you plunge beneath the water//

Hold Breath equal to CON mod+2 (minimum 1), instead If you take a deep breath first, hold Breath equal to CON mod+5 (min 3). 

Each time you make a move (or the GM says), pick 1. (If in response to a move, it happens after.)

* Spend 1 Breath
* Mark a debility (that you haven’t marked yet)
* Take your Last Breath",Move
Druibar,"Town found on the Island of Silva, mostly [[Gnome]], Members of [[The Federation of the Sentinel]]. Was attacked by the [[Kingdom of Orlon]] and downgraded to a village.",Silva Urban [[The Federation of the Sentinel]] Village
Drumbar,"Town found on the Island of Silva, mostly [[Gnome]], Members of [[The Federation of the Sentinel]]. Upgraded to City",Silva Urban [[The Federation of the Sentinel]] City
Drumku,"Pirates Gnomes, with some lizards and kobolds. Destroyed by the [[Kingdom of Orlon]]

<$list filter=""[tag[Drumku]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Silva Urban Pirate Ruins
Drun Bal Hat Thar Kall,"rough translation: By Dur, come here again and you shall die and then we'll get nasty.
",[[The Federation of the Sentinel]] Castle Urban Lenara
Dwarf,"* [[Name Generator|https://www.fantasynamegenerators.com/dwarf_names.php]]
* [[Languages]] Dwarven",Race
Elf,"* [[Name Generator|https://www.fantasynamegenerators.com/elf_names.php]]
* [[Languages]] Goblin",Race
Empire of Anligit,"""""""
Found mostly on the island of [[Cobehot]] and mostly [[Halfling]]
[[Their Capital|Silverlight]] is found on the Eastern Coast north of the Estery of the [[River Larne]] on the island of [[Cobehot]]. 

Attacked the Town of [[Cobhaak Orhim]] (Attacked with 4, defended with 6).
""""""
Alliance with : {{!!alliance}} <br/>
Bad relationship with: {{!!bad}}<br/>
At War with {{!!war}}<br/>

!!! Urban Locations
<$list filter=""[tag[Empire of Anligit]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Anligit]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Anligit]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Anligit]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Anligit]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle) (Population <$view field=""population""/>)<br/>
</$list>",[[Major Faction]]
Empire of Zantera,"""""""
Found mostly on the island of [[Lenara]] and is mostly [[Elf]]'s.
[[Their Capital|Malketh]] is on the southern coast of the Northern island.
They have Hostile Relationship with the Hives of [[Strakara]].
They have Very Hostile Relationship with the Hives of [[Xavier]].
They have a Very Hostile with the City State of [[Arlinia]].
They have a Trade Agreement with the [[Empire of Anligit]]. - Lost when they attacked [[Xavier]]
They have an Alliance with the [[League of Glang]]
Attacked [[Breeonel]] of the country of [[Xavier]] and ANEXED IT!
Attacked [[Arlinia]] the City State! (attack 1, defence 4)
""""""

!!! Urban Locations
<$list filter=""[tag[Empire of Zantera]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Zantera]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Zantera]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Zantera]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Empire of Zantera]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle) (Population <$view field=""population""/>)<br/>
</$list>",[[Major Faction]]
Erol,"[img[https://nalonar.eaglesroost.org/images/tokens/Erol.png]]

See Also;

<$list filter=""[tag[Erol]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>

<<GMNote ""Possible Last Breath - Large colesium type, no more hats

Ask about Instrument. make sure he includes it, and clothes into description.
Ask about Bardic Law choice
Ask about how his 'Arcane Art' manifests, how does it look, how does it sound.

Was saved from a bar room brawl by [[Maisie Starhammer]] and now owes her.
He was in a Bar and a Brawl started, not sure where but it started somewhere over there and all hell broke lose. He was hiding under a table, then made a brake for the door, as he neared the door someone hit him with a chair, the next thing he knew there was [[a dwarf|Maisie Starhammer]] stood over him protecting him from imminent bodily harm.

He was in a tavern telling the story of [[The Battle of Okat-Oork]] however, when he told the story, he told of how the [[Okat Regulars]] were broken at the first charge of the Gnomes, it was at this point that [[Shol-Tak]] decided he was unable to sit back and allow these lies to spread any further, he stood up and gave Erol a piece of his mind. Subsequently, Erol is now weary of [[Shol-Tak]].

[[Erol]] has heard of [[Tirgeth]] and his exploits as a merc in [[Gronzezzeg]] but all of the stories lack some of the detail he needs to turn it into a proper story, he is now determined to see one of [[Tirgeth]]'s exploits for himself.

[[Lukk]] trusted me with a secret. The secret was that the relationship between the [[Usk Aulkhori]] Pirates and the [[Acolytes of the Great Flame]] is more than just basic commerce.

Bond 5

Bond 6

"">>",Player Kobold Character Wednesday
Faceted Black Gem,"This is the one that the [[Wednesday]] players found at the bottom of the shaft under the monastery. It is currently in the possession of [[Erol]].

<<GMNote ""This one started with 44 charges of 139 and has absorbed the following charges;
<ul>
<li>6 from two burning brands.</li>
</ul>
<b>Its current Total is 50.</b>
"">>

{{Faceted Black Gem Generic}}",Object Erol Wednesday
Faceted Black Gem Generic,"Faceted black Gem, Marquise Cut, About 2cm Inch long, about 1cm wide and about half a cm ""deep"".

<<GMNote ""The gem can store X Power before it must be drained the art of which has been lost. Once it exceeds that amount of power it will crack on the first 6- roll of the person holding/carrying it producing a spider web like effect over its surface. From this point forwards anyone who uses any magic within Short suffers a -1 going forwards.
The gem will gain power based on the following;
<ul>
<li>1 power for each day it is carried by someone with 'Magic'.</li>
<li>1D4+Level for each spell cast by the person carrying it.</li>
<li>1D4+Level for each spell targetted at the person carrying it.</li>
<li>+Level for each spell used within 'Short' range.</li>
</ul>
<em>Cantrips and abilities like the Bard's Arcane Art or the Immolators Burning Brand count as level 0.
</em>
"">>",Object
Falling,"When you fall…

* a few feet (like off a table or a horse), take 1d4 damage
* from a modest height (out a first story window, while climbing a tree), take 1d8 damage
* from a serious height (off a roof, down a ravine), take 1d10 damage (ignores armour)
* onto something soft and yielding (water, pillows), roll twice and take the lower roll
* onto something hard, jagged (rocks, stairs), roll twice and take the higher roll
* onto something sharp and pointy, take an extra die of messy damage
* from a great height (off a cliff, from the ramparts), roll Last Breath

See [[Falling... Catch yourself]]",Move
Falling... Catch yourself,"When you are [[Falling]] if you try to catch yourself as you fall, roll +STR or +DEX (your choice):

* on a 10+, phew, got it;
* on a 7-9, you catch yourself but pick 1
** Something you were carrying falls and is lost; ask the GM what it was
** Your grip is slipping or your handhold is crumbling; think fast!
** Freeze up, holding on for dear life until you overcome your fear
* on a 6-, down you go.
",Move
Farfood Fellowship,"!!! Urban Locations
<$list filter=""[tag[Farfood Fellowship]tag[Urban]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Population <$view field=""population""/>)<br/>
</$list>",[[Minor Faction]]
Fishing,"When you spend some time fishing in a spot where the fish are biting, roll+WIS.

* on a 10+, you take in enough to feed yourself and choose 1 additional:
** Feed all your companions as well (These count as rations if you ""Make Camp"" the same day.
** You gain a new understanding of a companion that fishes with you – you can rewrite a bond you have with them, or they can rewrite a bond they have with you
** You become familiar with the countryside and wildlife around you – take +1 ongoing to whichever role you choose when you Undertake a Perilous Journey in this area.
** Tell the GM what person, place, or thing you recently encountered and are spending your time thinking about, and ask them one question from the Discern Realities list about it.
* On 7-9, you take in enough to feed yourself. These count as rations if you Make Camp in that same day.
* on a -6 You go Hungry",Move
Forest,"<$list filter=""[tag[Forest]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Front Page,"<ul><$list filter=""[tag[Home]tag[Important]]+[sort[]]"">
<li><$link><$view field=""title""/></$link></li>
</$list></ul>
<ul><$list filter=""[tag[Home]!tag[Important]]+[sort[]]"">
<li><$link><$view field=""title""/></$link></li>
</$list></ul>",Home
Geography,{{Prominent Geography of Nalonar}},
Gerendell,,Cobehot [[Empire of Anligit]] Town Urban [[Acolytes of the Great Flame]]
GM Access Key,"<$edit-text tiddler=""$:/state/GMKey"" size=20 tag=input default=""Key Please?""/> <$button>
<$action-sendmessage $message=""tm-close-tiddler""/>
<$action-navigate $to=""Front Page""/>
<$list filter=""[tag[GMHome]]+[sort[]]""><$action-navigate $to={{!!title}}/></$list>
Login
</$button> <$button set=""$:/state/GMKey"" setTo="""">
<$action-sendmessage $message=""tm-close-tiddler""/>
<$action-navigate $to=""Front Page""/>
Not GM
</$button>",GMImport [[Hide Close]]
GM Example Full,You should not be able to read this without the right key!,GMNote GMExample
GM Example Partial,"You should be able to read this without a password.

<<GMNote ""But you should not see this extra text until you have the right Key!"">>",GMExample
GMImageMacro,"\define GMImage()
<$reveal type=""match"" state=""$:/state/GMKey"" text=""98631635"">
<<MapMacroInternal {{!!imagegm}} ""border: 2px solid #ff0000"">>
</$reveal>
\end",$:/tags/Macro
GMNoteMacro,"\define GMNote(text:""Empty GM Note Macro"")

<$reveal type=""match"" state=""$:/state/GMKey"" text=""98631635"">

<span style=""color:#ff0000"">

$text$

</span>

</$reveal>

\end",$:/tags/Macro GMNote GMImport
Gnome,"* [[Name Generator|https://codexnomina.com/dnd-gnome-names/]]
* [[Languages]] Gnomish",Race
Goblin,"* [[Name Generator|https://www.fantasynamegenerators.com/goblin-names.php]]
* [[Languages]] Goblin",Race
God's Foothills,"!!! Urban Locations
<$list filter=""[tag[God's Foothills]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Cobehot Urban [[Acolytes of the Great Flame]]
Goedd,"The left the [[Empire of Anligit]] as settlers but decided to strike out on their own, thus they have a Bad relationship with the [[Empire of Anligit]]. Halfling Town, good at crafting with wood, especially with woodwind music instruments",Lenara Urban Town [[Farfood Fellowship]]
Gorr-Ang,Downgraded from Town to Village,Cobehot [[Anti-Onuk Alliance]] Urban Village
Gorruzu-novu,Fortified,[[Anti-Onuk Alliance]] Town Urban Silva
Gorzzu-oku,Abandoned to form the Towns of [[Gorruzu-novu]] and [[Gorr-Ang]] in the minor faction of [[Anti-Onuk Alliance]],Urban Kemzemkex Gronzezzeg Ruins
Graham,,Player Character Thursday GMNote
Gronzezzeg,"""""""
[[Their Capital|Muansi-oka]] is found on the [[Ulhar River]] south of the [[Lerutl Hills]]
Found on the island of [[Kemzemkex]] is mostly [[Kobold]]
Has a Hostile relationship with [[Ancient Necromancer]].
Has an Excellent trade relationship with [[Kingdom of Orlon]]
Has successfully attacked and weakened the [[Ancient Necromancer]].
""""""

!!! Urban Locations
<$list filter=""[tag[Gronzezzeg]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Gronzezzeg]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Gronzezzeg]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Gronzezzeg]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Gronzezzeg]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle) (Population <$view field=""population""/>)<br/>
</$list>",[[Major Faction]]
Groups and Organisations,"<$list filter=""[tag[Group]][tag[Organisation]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Home
Halfling,"* [[Name Generator|https://www.fantasynamegenerators.com/dnd-halfling-names.php]]
* [[Languages]] Common",Race
Hew,"Magical Axe <<GMNote ""Deals Maximum damage when it hits a Plant based creature or something made of wood, it was made by [[unnamed Dwarven Smith]] a Dwarven Rune smith. Any time the player is within a forest, they feel uneasy as if someone was watching them."">>",Object
HideCloseButton,"[data-tags*=""Hide Close""] button[title=""Close this tiddler""]   {display: none;}",$:/tags/Stylesheet GMNote GMImport
HideEditButton,"<$reveal type=""nomatch"" state=""$:/state/GMKey"" text=""98631635"">
   button[title=""Edit this tiddler""] {display:none}
</$reveal>",$:/tags/Stylesheet GMNote GMImport
Hills,"<$list filter=""[tag[Hills]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Hjodlikziz Urngorr,Found on the Island of [[Principal]] Surrounds the southern side of [[Hlegu Brjaam]],[[Mountain Range]] Geography Principal
Hlegu Brjaam,Found on the Island of [[Principal]] north of the [[Hjodlikziz Urngorr]] Mountain Range,Lake Geography Principal
Home Shell Home,,Move Wildlife todo
Hottelan,Goblin Pirates,Pirate Cobehot Urban
Human,"* [[Name Generator|https://www.fantasynamegenerators.com/dnd-human-names.php]]
* [[Languages]] Common",Race
Island,"<$list filter=""[tag[Island]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Islands of Nalonar,{{Island}},Home
Item Ideas,"* Drunkard’s Hat, A fine straw or town hat, user knows the location of the nearest alcoholic beverage.
* Coin of Certainty, a brass coin that always lands on heads.
* Bolts of Seeking. A crossbow bolt that automatically seeks out and targets the nearest person when fired. Please note this is almost always the person who fired the crossbow.
* Chalk of Doors, A stick of chalk with a sprinkle of rainbow in the lime. Allows the user to cast misty step as an action by drawing a chalk door on the wall and stepping through. 3/3 uses.
* Cloak of Grace, Allows user to cast feather fall once per day, billows majestically at all other times. On natural 1 rolls the cloak will get caught in something.
* I'm about to give one of my players a +1 flail that's going to drop from a mimic. What the player won't know until he rolls a Nat20 on an attack is that the flail is actually a baby mimic that opens up its maw and clamps down on the target's body, but on a nat one the mimic will clamp down on the player and will need to make a strength check to pry it off or he won't be able to fight with it.
* The Wolf’s Fang: This +1 magical longsword – with an ivory wolf’s head pommel – identifies its bearer as a friend to wolves, who will not attack the wielder unless provoked. 
* Moondancer: This +1 magical rapier is made from glittering silver steel that never rusts. Its hilt is inlaid with mother of pearl stars. When Moondancer moves through the air, the tip of the blade leaves traces of silvery light behind it. 
* Ceramite Shortsword: This +1 magical shortsword is made from magically hardened porcelain, inlaid with pale blue images of swallows in flight. The blade is impossibly sharp, but brittle. On a critical hit, roll an additional damage die. On a 1, the blade shatters into a thousand pieces and the air is momentarily filled with birdsong. 
* Prospector’s Blade: This +1 magical broadsword is of dwarven design. When the tip of this wide, squat bronze sword is tapped twice against a nonmagical metal, stone, or other mineral, the wielder learns its type. 
* Star Iron: This +1 magical longsword was forged from a meteorite. Its blade is a dark, shimmering blue, streaked with black and gold. Under starlight, the blade glows softly and feels lighter, gaining the finesse property until dawn. 
* Talon of the Crow Lord: This +1 magical longsword has a hilt adorned with feathers wrought from silver. When you attune to this weapon you can speak to and understand all crows, ravens, magpies, and other corvids, who periodically seek you out to make tiny offerings of shiny trinkets and baubles. 
* Aeolian Edge: This +1 magical rapier is exceptionally light. So light, in fact, that it will gently float away unless held or weighed down. When drawn, the bearer is surrounded by a momentary gust of wind that causes their hair and clothes to billow impressively. 






Think about the Origin, Aesthetic, and Location of a +1 magic sword. Express its past in the craftsmanship, or in the place where it is found. Do this right and your player hasn’t just picked up a slightly better pointy stick: they’ve acquired a piece of history, a riddle from the past to solve. 

Giving your cleric a holy sword forged by an order of nuns to slay the demon that tormented their monastery, with a blade forged from melted down holy symbols and a hilt adorned with wax purity seals and scraps of holy scripture is a hell of a lot more evocative than saying “you find a +1 magic longsword.













",Object GMNote
Izholk,<<NPCMacro>>,Character Kobold
Izholk's Mount,<<NPCMacro>>,Character [[Komodo Dragon]]
Jungle,"<$list filter=""[tag[Jungle]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Kantza,,River Geography Lenara
Kemzath,on the northern coast of [[Kemzemkex]],[[Empire of Zantera]] Urban Town Kemzemkex
